Date, Close, Open, High, Low, Volume
2/28/2020,1883.75,1814.63,1889.76,1811.13,9493797
2/27/2020,1884.3,1934.38,1975,1882.76,8143993
2/26/2020,1979.59,1970.28,2014.67,1960.45,5240402
2/25/2020,1972.74,2026.42,2034.6,1958.42,6219094
2/24/2020,2009.29,2003.18,2039.3,1987.97,6546997
2/21/2020,2095.97,2142.15,2144.55,2088,4650740
2/20/2020,2153.1,2173.07,2176.79,2127.45,3131342
2/19/2020,2170.22,2167.8,2185.1,2161.12,2561165
2/18/2020,2155.67,2125.02,2166.07,2124.11,2951070
2/14/2020,2134.87,2155.68,2159.04,2125.89,2606169
2/13/2020,2149.87,2144.99,2170.28,2142,3031791
2/12/2020,2160,2163.2,2180.25,2155.29,3334264
2/11/2020,2150.8,2150.9,2185.95,2136,5746011
2/10/2020,2133.91,2085.01,2135.6,2084.96,5056235
2/7/2020,2079.28,2041.99,2098.53,2038.1,5095347
2/6/2020,2050.23,2041.02,2056.3,2024.8,3182954
2/5/2020,2039.87,2071.02,2071.02,2032,4376174
2/4/2020,2049.67,2029.88,2059.8,2015.37,5289338
2/3/2020,2004.2,2010.6,2048.5,2000.25,5899094
1/31/2020,2008.72,2051.47,2055.72,2002.27,15567280
1/30/2020,1870.68,1858,1872.87,1850.61,6327438
1/29/2020,1858,1864,1874.75,1855.02,2101390
1/28/2020,1853.25,1840.5,1858.11,1830.02,2808040
1/27/2020,1828.34,1820,1841,1815.34,3528509
1/24/2020,1861.64,1891.37,1894.99,1847.44,3766181
1/23/2020,1884.58,1885.11,1889.98,1872.76,2484613
1/22/2020,1887.46,1896.09,1902.5,1883.34,3216257
1/21/2020,1892,1865,1894.27,1860,3707785
1/17/2020,1864.72,1885.89,1886.64,1857.25,3997340
1/16/2020,1877.94,1882.99,1885.59,1866.02,2659493
1/15/2020,1862.02,1872.25,1878.86,1855.09,2896592
1/14/2020,1869.44,1885.88,1887.11,1858.55,3446381
1/13/2020,1891.3,1891.31,1898,1880.8,2785844
1/10/2020,1883.16,1905.37,1906.94,1880,2856959
1/9/2020,1901.05,1909.89,1917.82,1895.8,3174962
1/8/2020,1891.97,1898.04,1911,1886.44,3511966
1/7/2020,1906.86,1904.5,1913.89,1892.04,4134010
1/6/2020,1902.88,1860,1903.69,1860,4065698
1/3/2020,1874.97,1864.5,1886.2,1864.5,3766604
1/2/2020,1898.01,1875,1898.01,1864.15,4035910
12/31/2019,1847.84,1842,1853.26,1832.23,2510380
12/30/2019,1846.89,1874,1884,1840.62,3677306
12/27/2019,1869.8,1882.92,1901.4,1866.01,6188754
12/26/2019,1868.77,1801.01,1870.46,1799.5,6024608
12/24/2019,1789.21,1793.81,1795.57,1787.58,881337
12/23/2019,1793,1788.26,1793,1784.51,2137493
12/20/2019,1786.5,1799.62,1802.97,1782.45,5152460
12/19/2019,1792.28,1780.5,1792.99,1774.06,2738320
12/18/2019,1784.03,1795.02,1798.2,1782.36,3354137
12/17/2019,1790.66,1778.01,1792,1777.39,3646697
12/16/2019,1769.21,1767,1769.5,1757.05,3149345
12/13/2019,1760.94,1765,1768.99,1755,2747909
12/12/2019,1760.33,1750,1764,1745.44,3103949
12/11/2019,1748.72,1741.67,1750,1735.71,2101318
12/10/2019,1739.21,1747.4,1750.67,1735,2515644
12/9/2019,1749.51,1750.66,1766.89,1745.61,2502489
12/6/2019,1751.6,1751.2,1754.4,1740.13,3119979
12/5/2019,1740.48,1763.5,1763.5,1740,2827852
12/4/2019,1760.69,1774.01,1789.09,1760.22,2680700
12/3/2019,1769.96,1760,1772.87,1747.23,3529582
12/2/2019,1781.6,1804.4,1805.55,1762.68,3931750
11/29/2019,1800.8,1817.78,1824.69,1800.79,1923440
11/27/2019,1818.51,1801,1824.5,1797.31,3035846
11/26/2019,1796.94,1779.92,1797.03,1778.35,3190428
11/25/2019,1773.84,1753.25,1777.42,1753.24,3489467
11/22/2019,1745.72,1739.02,1746.43,1731,2479081
11/21/2019,1734.71,1743,1746.87,1730.36,2662938
11/20/2019,1745.53,1749.14,1762.52,1734.12,2793759
11/19/2019,1752.79,1756.99,1760.68,1743.03,2274535
11/18/2019,1752.53,1738.3,1753.7,1722.71,2841907
11/15/2019,1739.49,1760.05,1761.68,1732.86,3931141
11/14/2019,1754.6,1751.43,1766.59,1749.56,2269417
11/13/2019,1753.11,1773.39,1775,1747.32,2926892
11/12/2019,1778,1774.66,1786.22,1771.91,2038925
11/11/2019,1771.65,1778,1780,1767.13,1947810
11/8/2019,1785.88,1787.89,1789.88,1774.04,2126198
11/7/2019,1788.2,1803.76,1805.9,1783.48,2651086
11/6/2019,1795.77,1801,1802.5,1788.58,2029783
11/5/2019,1801.71,1809.16,1810.25,1794,1885543
11/4/2019,1804.66,1801.01,1815.06,1801.01,2771922
11/1/2019,1791.44,1788.01,1797.45,1785.21,2790354
10/31/2019,1776.66,1775.99,1792,1771.48,2781185
10/30/2019,1779.99,1760.24,1782.38,1759.12,2449405
10/29/2019,1762.71,1774.81,1777,1755.81,2276855
10/28/2019,1777.08,1748.06,1778.7,1742.5,3708851
10/25/2019,1761.33,1697.55,1764.21,1695,9626402
10/24/2019,1780.78,1771.09,1788.34,1760.27,5204350
10/23/2019,1762.17,1761.3,1770.05,1742,2190380
10/22/2019,1765.73,1788.15,1789.78,1762,2234425
10/21/2019,1785.66,1769.66,1785.88,1765,2224902
10/18/2019,1757.51,1787.8,1793.98,1749.2,3366091
10/17/2019,1787.48,1796.49,1798.85,1782.02,2713773
10/16/2019,1777.43,1773.33,1786.24,1770.52,2804068
10/15/2019,1767.38,1742.14,1776.45,1740.62,3129244
10/14/2019,1736.43,1728.91,1741.89,1722,1928898
10/11/2019,1731.92,1742.92,1745.45,1729.86,3279534
10/10/2019,1720.26,1725.24,1738.29,1713.75,2721531
10/9/2019,1721.99,1719.61,1729.95,1714.36,2089335
10/8/2019,1705.51,1722.49,1727,1705,2626840
10/7/2019,1732.66,1731.63,1747.83,1723.7,2187598
10/4/2019,1739.65,1726.02,1740.58,1719.23,2489277
10/3/2019,1724.42,1713,1725,1685.06,3624371
10/2/2019,1713.23,1727.74,1728.89,1705,3338476
10/1/2019,1735.65,1746,1755.6,1728.41,3170460
9/30/2019,1735.91,1726.99,1737.46,1709.22,2760768
9/27/2019,1725.45,1748,1749.12,1713.82,3948029
9/26/2019,1739.84,1762.79,1763.37,1731.5,3571952
9/25/2019,1768.33,1747.36,1773,1723,3531098
9/24/2019,1741.61,1790.61,1795.71,1735.55,4637901
9/23/2019,1785.3,1777,1792.7,1767.32,3139142
9/20/2019,1794.16,1821.71,1830.63,1780.92,5555839
9/19/2019,1821.5,1821.02,1832.57,1817.9,2078335
9/18/2019,1817.46,1817.04,1822.06,1795.5,2536012
9/17/2019,1822.55,1807.08,1823.99,1804.1,2033058
9/16/2019,1807.84,1824.02,1825.69,1800.2,3675473
9/13/2019,1839.34,1842.01,1846.12,1835.17,1971317
9/12/2019,1843.55,1837.63,1853.66,1834.28,2823505
9/11/2019,1822.99,1812.14,1833.42,1809.08,2432767
9/10/2019,1820.55,1822.75,1825.81,1805.34,2613879
9/9/2019,1831.35,1841,1850,1824.61,2999515
9/6/2019,1833.51,1838.22,1840.65,1826.4,2496933
9/5/2019,1840.72,1821.95,1842,1815.58,3325189
9/4/2019,1800.62,1805,1807.63,1796.23,2326228
9/3/2019,1789.84,1770,1800.8,1768,3546859
8/30/2019,1776.29,1797.49,1799.74,1764.57,3064147
8/29/2019,1786.4,1783,1798.55,1777.25,3018012
8/28/2019,1764.25,1755,1767.86,1744.05,2421893
8/27/2019,1761.83,1775.73,1779.4,1746.68,3027245
8/26/2019,1768.87,1766.91,1770,1743.51,3085320
8/23/2019,1749.62,1793.03,1804.9,1745.23,5277898
8/22/2019,1805.6,1828,1829.41,1800.1,2658388
8/21/2019,1823.54,1819.39,1829.58,1815,2039231
8/20/2019,1801.38,1814.5,1816.82,1799.88,1932835
8/19/2019,1816.12,1818.08,1826,1812.61,2820303
8/16/2019,1792.57,1792.89,1802.91,1784.55,3054240
8/15/2019,1776.12,1781.99,1788,1761.96,3809948
8/14/2019,1762.96,1793.01,1795.65,1757.22,4893649
8/13/2019,1824.34,1783,1831.74,1780,4075021
8/12/2019,1784.92,1795.99,1800.98,1777,2905498
8/9/2019,1807.58,1828.95,1831.09,1802.22,2879770
8/8/2019,1832.89,1806,1834.26,1798.11,3701242
8/7/2019,1793.4,1773.99,1798.93,1757,4526884
8/6/2019,1787.83,1792.23,1793.77,1753.4,5070258
8/5/2019,1765.13,1770.22,1788.67,1748.78,6058212
8/2/2019,1823.24,1845.07,1846.36,1808.02,4956225
8/1/2019,1855.32,1871.72,1897.92,1844.01,4713311
7/31/2019,1866.78,1898.11,1899.55,1849.44,4470727
7/30/2019,1898.53,1891.12,1909.89,1883.48,2910888
7/29/2019,1912.45,1930,1932.23,1890.54,4493190
7/26/2019,1943.05,1942,1950.9,1924.51,4927143
7/25/2019,1973.82,2001,2001.2,1972.72,4136461
7/24/2019,2000.81,1969.3,2001.3,1965.87,2631300
7/23/2019,1994.49,1995.99,1997.79,1973.13,2703480
7/22/2019,1985.63,1971.14,1989,1958.26,2908111
7/19/2019,1964.52,1991.21,1996,1962.23,3185612
7/18/2019,1977.9,1980.01,1987.5,1951.55,3504252
7/17/2019,1992.03,2007.05,2012,1992.03,2558809
7/16/2019,2009.9,2010.58,2026.32,2001.22,2618198
7/15/2019,2020.99,2021.4,2022.9,2001.55,2981343
7/12/2019,2011,2008.27,2017,2003.87,2509297
7/11/2019,2001.07,2025.62,2035.8,1995.3,4317766
7/10/2019,2017.41,1996.51,2024.94,1995.4,4931902
7/9/2019,1988.3,1947.8,1990.01,1943.48,4345698
7/8/2019,1952.32,1934.12,1956,1928.25,2883371
